"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL830";"EFLORNITHINE";"EFLORNITHINE|Eflornithine|Ornidyl|Vaniqa";"Small molecule";"4";"182.17";"101";"219";"-0.23";"89.34";"3";"3";"0";"5";"N";"0.55";"2.19";"10.20";"-2.91";"-3.13";"0";"MOL";"0";"12";"4";"5";"0";"182.0867";"ZWITTERION";"C6H12F2N2O2";"NCCCC(N)(C(=O)O)C(F)F"
"CHEMBL685";"MEBENDAZOLE";"EMVERM|MEBENDAZOLE|MEBENDAZOLE POLYMORPH C|Mebendazole|Mebenvet|NSC-184849|OVEX|R 17,635|R-17635|Telmin|Telmintic|VERMOX";"Small molecule";"4";"295.30";"180";"1085";"2.97";"84.08";"4";"2";"0";"3";"N";"0.73";"8.44";"3.93";"3.26";"3.23";"3";"MOL";"0";"22";"6";"2";"0";"295.0957";"NEUTRAL";"C16H13N3O3";"COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1"
"CHEMBL625";"THIABENDAZOLE";"E233|Equizole|MK-360|Mintezol|Omnizole|THIABENDAZOLE|TIABENDAZOLE|Tiabendazole";"Small molecule";"4";"201.25";"241";"1206";"2.69";"41.57";"3";"1";"0";"1";"Y";"0.66";"10.28";"4.08";"2.33";"2.33";"3";"MOL";"0";"14";"3";"1";"0";"201.0361";"NEUTRAL";"C10H7N3S";"c1ccc2[nH]c(-c3cscn3)nc2c1"
"CHEMBL869";"NITROFURAZONE";"Actin-N|FURACILIN|FURACINE|Furacin|Furazone|NITROFURAL|NITROFURAZONE|NSC-1602|NSC-2100|Nitrofural|Nitrofurazone";"Small molecule";"4";"198.14";"63";"1640";"0.19";"123.76";"5";"2";"0";"3";"N";"0.41";"11.79";"None";"-0.14";"-0.14";"1";"MOL";"0";"14";"8";"3";"0";"198.0389";"NEUTRAL";"C6H6N4O4";"NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1"
"CHEMBL1525";"PERMETHRIN";"Elimite|LYCLEAR|LYTHRIN|PERMETHRIN";"Small molecule";"4";"391.29";"37";"115";"6.11";"35.53";"3";"0";"1";"6";"N";"0.56";"None";"None";"5.70";"5.70";"2";"MOL";"0";"26";"3";"0";"1";"390.0789";"NEUTRAL";"C21H20Cl2O3";"CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1"
"CHEMBL1330792";"ACETARSONE";"ACETARSOL|ACETARSONE|GYNOPLIX|S.V.C.|Stovarsol";"Small molecule";"4";"275.09";"86";"120";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"274.9775";"None";"C8H10AsNO5";"CC(=O)Nc1cc([As](=O)(O)O)ccc1O"
"CHEMBL1200468";"MALATHION";"8059HC|Cythion|DERBAC-M|ENT 17,034|ENT-17034|MALATHION|Malathion|NSC-6524|OVIDE|Organoderm|Ovide|PRIODERM|QUELLADA-M|SULEO-M";"Small molecule";"4";"330.36";"35";"91";"2.12";"71.06";"8";"0";"0";"9";"N";"0.47";"None";"None";"1.86";"1.86";"0";"MOL";"0";"19";"6";"0";"0";"330.0361";"NEUTRAL";"C10H19O6PS2";"CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC"
"CHEMBL1449676";"ORNIDAZOLE";"NSC-95075|ORNIDAZOLE|RO 7-0207|RO-7-0207|RO-70207|TIBERAL";"Small molecule";"4";"219.63";"29";"74";"0.70";"81.19";"5";"1";"0";"4";"N";"0.46";"13.82";"3.27";"0.26";"0.26";"1";"MOL";"0";"14";"6";"1";"0";"219.0411";"NEUTRAL";"C7H10ClN3O3";"Cc1ncc([N+](=O)[O-])n1CC(O)CCl"
"CHEMBL1239";"BENZYL BENZOATE";"ASCABIOL|BENZYL BENZOATE|Benzyl Benzoate|FEMA NO. 2138|Mange Treatment|NSC-8081|Scabanca|Vanzoate";"Small molecule";"4";"212.25";"33";"71";"3.04";"26.30";"2";"0";"0";"3";"N";"0.73";"None";"None";"3.70";"3.70";"2";"MOL";"0";"16";"2";"0";"0";"212.0837";"None";"C14H12O2";"O=C(OCc1ccccc1)c1ccccc1"
"CHEMBL2079699";"SODIUM STIBOGLUCONATE";"ANTIMONY SODIUM GLUCONATE|PENTOSTAM|SODIUM STIBOGLUCONATE|SODIUM STIBOGLUCONATE ANHYDROUS";"Small molecule";"4";"907.88";"12";"181";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"743.8235";"None";"C12H35Na3O26Sb2";""
"CHEMBL331743";"DIXANTHOGEN";"DIETHYLDIXANTHOGEN|DIEXANTHOGEN|DIXANTHOGEN|NSC-402561";"Small molecule";"0";"242.41";"8";"10";"3.01";"18.46";"6";"0";"0";"2";"N";"0.54";"None";"None";"4.46";"4.46";"0";"MOL";"0";"12";"2";"0";"0";"241.9564";"None";"C6H10O2S4";"CCOC(=S)SSC(=S)OCC"
"CHEMBL137";"METRONIDAZOLE";"ACEA|ANABACT|BAY-5360|BAYER 5360|BAYER-5360|DRAZIFON|ELYZOL|FLAGYL COMPAK|FLAGYL ER|FLAGYL-400|FLAGYL-S|Flagyl|Flagyl 375|Flagyl i.v. rtu in plastic container|METRO I.V.|METROCREAM|METROGEL-VAGINAL|METROLOTION|METROLYL|METROMIDOL|METRONIDAZOLE|METROSA|METROTOP|Metric 21|Metrogel|NEUTRATOP|NORZOL|NSC-50364|NSC-69587|NUVESSA|Noritate|PROTOSTAT|ROSICED|ROZEX|RP 8823|RP-8823|SATRIC|VAGINYL|Vandazole|ZADSTAT|ZIDOVAL|ZYOMET";"Small molecule";"4";"171.16";"292";"3259";"0.09";"81.19";"5";"1";"0";"3";"N";"0.52";"None";"3.03";"-0.46";"-0.46";"1";"MOL";"0";"12";"6";"1";"0";"171.0644";"NEUTRAL";"C6H9N3O3";"Cc1ncc([N+](=O)[O-])n1CCO"
"CHEMBL1483";"ALBENDAZOLE";"ALBENDAZOLE|Albenza|ESKAZOLE|NSC-220008|SK&F 62979|SK&F-62979|Valbazen|ZENTEL|Zental";"Small molecule";"4";"265.34";"177";"861";"3.24";"67.01";"4";"2";"0";"4";"N";"0.83";"9.51";"4.27";"3.20";"3.20";"2";"MOL";"0";"18";"5";"2";"0";"265.0885";"NEUTRAL";"C12H15N3O2S";"CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1"
"CHEMBL290960";"NIFURTIMOX";"BAY 2502|BAY A2502|BAY-2502|BAY-A2502|BAYER 2502|BAYER-2502|DNDI1613515|Lampit|NIFURTIMOX";"Small molecule";"4";"287.30";"58";"663";"0.64";"106.02";"7";"0";"0";"3";"N";"0.46";"None";"0.34";"-0.27";"-0.27";"1";"MOL";"0";"19";"8";"0";"0";"287.0576";"NEUTRAL";"C10H13N3O5S";"CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1"
"CHEMBL720";"BENZYL ALCOHOL";"BENZYL ALCOHOL|Benzyl Alcohol|E-1519|E1519|FEMA NO. 2137|INS NO.1519|INS-1519|NSC-8044|PHENYLCARBINOL|ULESFIA";"Small molecule";"4";"108.14";"123";"305";"1.18";"20.23";"1";"1";"0";"1";"Y";"0.57";"None";"None";"1.21";"1.21";"1";"MOL";"0";"8";"1";"1";"0";"108.0575";"NEUTRAL";"C7H8O";"OCc1ccccc1"
"CHEMBL1593566";"DELTAMETHRIN";"DECAMETHRIN|DELTAMETHRIN|Decamethrin";"Small molecule";"0";"505.21";"25";"160";"6.49";"59.32";"4";"0";"2";"6";"N";"0.42";"10.65";"None";"5.74";"5.74";"2";"MOL";"0";"28";"4";"0";"2";"502.9732";"NEUTRAL";"C22H19Br2NO3";"CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1"
